,radio,lon,lat,range,TowerID
45,GSM,77.408981323242,23.191452026367003,1000,40493-39045-21148
46,GSM,77.408981323242,23.191452026367003,1000,40493-39045-36103
47,GSM,77.408981323242,23.191452026367003,1000,40493-39045-36101
48,GSM,77.423484,23.211784,2703,40493-39045-38173
49,GSM,77.430339,23.218035,1000,40493-39045-38171
50,GSM,77.43519599999998,23.216634,1000,40493-39045-38243
51,GSM,77.43413199999998,23.214924,1000,40493-39045-19073
52,GSM,77.434083,23.220582,1000,40493-39045-37962
53,GSM,77.43271800000002,23.225086,1000,40493-39045-37961
54,GSM,77.43441899999998,23.226619,1000,40493-39045-22937
55,GSM,77.432934,23.229521,1250,40493-39045-13552
56,GSM,77.42982099999998,23.225893,1000,40493-39045-37963
57,GSM,77.434326,23.227998,1000,40493-39045-36713
58,GSM,77.431577,23.231151,1211,40493-39045-38014
59,GSM,77.43278199999997,23.230685,1000,40493-39045-36711
